classification,system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
11,24755_0,11,290,620,749,2482,2471,1380,161
8,24764_0,9,120,199,127,1290,611,267,86
12,24772_0,12,444,743,725,2322,3129,2145,361
17,24776_0,12,330,614,494,2538,1662,980,265
11,24779_0,11,8,42,16,100,88,67,-20
0,24781_0,0,454,462,195,49,18,12,418
11,24784_0,11,99,280,285,1385,1414,826,23
0,24785_0,0,579,751,649,126,19,12,476
0,24793_0,0,223,172,85,59,40,28,238
8,24794_0,8,115,228,160,2528,806,323,77
12,24795_0,12,406,813,822,2801,2736,1568,261
12,24798_0,12,413,839,632,3130,2378,1334,330
17,24799_0,17,352,650,699,2033,1876,1313,293
0,24804_0,0,521,541,220,38,15,10,435
17,24805_0,12,263,607,434,3579,1773,860,229
12,24808_0,12,407,828,689,3596,3241,1800,325
9,24809_0,9,129,170,140,644,618,355,108
12,24814_0,12,458,769,589,2827,2267,1282,418
12,24820_0,12,400,707,528,2992,2120,1172,344
12,24833_0,12,559,907,1053,2447,2818,1800,401
11,24838_0,11,353,610,754,2398,2344,1505,191
9,24839_0,9,216,341,254,2146,1227,531,198
12,24842_0,12,369,716,681,2676,2864,1766,251
17,24845_0,12,573,907,1157,2108,2498,1984,471
11,24853_0,11,322,643,705,2009,2206,1270,205
17,24858_0,12,376,591,730,1383,1437,1226,284
9,24863_0,8,79,201,160,1545,723,342,46
11,24868_0,11,108,302,318,1837,1466,835,21
17,24869_0,2,292,560,459,3029,1583,819,213
5,24872_0,3,1368,1748,1751,2081,1820,1234,1237
9,24873_0,8,8,92,79,493,352,184,-28
17,24877_0,19,313,392,481,1161,1552,1165,261
11,24879_0,11,194,396,427,1470,1610,1046,97
12,24889_0,12,461,674,629,2218,2596,1782,405
0,24890_0,0,392,447,186,67,45,34,345
8,24892_0,8,177,377,272,3498,1408,602,113
12,24902_0,12,260,595,460,2609,2144,1238,163
12,24903_0,12,380,686,650,2395,2505,1594,282
11,24906_0,11,384,771,866,2220,2844,1733,234
8,24908_0,2,119,248,161,1618,559,229,85
9,24911_0,11,125,371,342,2067,1437,897,38
17,24914_0,17,297,670,398,3931,1270,708,231
4,24918_0,5,790,1151,1317,2054,1830,1532,635
12,24923_0,12,391,787,536,3504,2400,1263,334
17,24925_0,12,322,532,522,1742,1693,1061,271
3,24927_0,2,446,502,563,1648,1263,833,393
17,24929_0,17,278,507,566,1469,1526,1038,189
12,24943_0,12,419,645,642,1865,2433,1627,353
12,24950_0,11,422,807,931,2645,3008,1687,264
12,24959_0,12,343,699,626,2786,2548,1483,258
8,24963_0,8,91,202,138,1852,470,188,57
12,24966_0,12,369,706,457,4326,2389,1171,343
17,24971_0,17,350,594,578,1775,1426,990,291
17,24974_0,17,313,497,518,2084,1884,1064,286
17,24975_0,17,339,585,637,2131,1714,1111,256
4,24976_0,3,544,637,626,1435,1036,693,501
12,24978_0,12,440,690,705,2205,2804,1810,348
0,24985_0,0,207,176,79,37,27,22,222
5,24990_0,5,766,946,999,1430,1301,1109,716
0,25002_0,0,368,506,354,87,32,21,309
4,25004_0,3,434,577,597,1413,1132,834,358
17,25005_0,17,307,514,334,4627,2165,985,296
12,25006_0,12,422,680,680,2369,2763,1715,327
12,25016_0,11,368,628,575,2196,2655,1668,282
17,25028_0,17,280,539,533,2615,1705,874,239
12,25029_0,12,318,657,667,2545,2025,1291,239
11,25030_0,9,349,514,494,1961,2049,1261,303
17,25037_0,17,292,496,515,2040,1532,935,203
8,25040_0,8,105,251,173,2296,650,247,68
9,25043_0,9,110,267,258,1192,780,449,56
17,25044_0,12,373,623,478,2637,1722,951,354
12,25048_0,12,195,388,368,1093,841,470,114
2,25049_0,2,87,416,395,2259,1186,772,9
17,25051_0,17,392,510,609,956,2090,1918,328
3,25055_0,3,331,447,444,1342,848,587,282
11,25057_0,11,447,617,557,1662,2063,1386,387
17,25058_0,17,341,436,521,824,1759,1627,292
11,25059_0,11,321,587,735,2008,2552,1653,213
2,25060_0,2,126,284,250,1713,681,399,54
11,25065_0,11,248,390,377,1543,1463,849,209
4,25067_0,4,326,572,588,1449,1197,900,135
3,25069_0,4,503,699,740,1890,1270,930,365
17,25081_0,9,249,432,408,1414,1243,718,195
12,25082_0,12,428,694,767,1845,2291,1638,328
17,25085_0,17,246,433,413,2116,1310,871,213
12,25086_0,12,464,763,691,2703,2651,1573,413
12,25088_0,9,547,705,743,1919,2654,1765,495
8,25094_0,7,76,148,83,850,364,158,59
8,25098_0,9,159,253,175,1929,875,369,127
4,25103_0,4,530,792,913,1630,1221,1008,450
9,25109_0,11,270,355,305,1555,1122,613,250
8,25133_0,8,108,270,196,2502,944,398,62
17,25138_0,17,464,756,764,2539,2442,1727,395
17,25141_0,2,445,710,585,2098,1762,1161,404
17,25143_0,17,506,756,796,2081,2402,1675,413
4,25144_0,4,436,609,696,1530,1284,923,312
12,25156_0,12,381,624,483,2326,2425,1552,367
12,25158_0,17,411,681,581,2431,2088,1248,367
8,25159_0,8,109,213,157,2007,707,306,53
11,25161_0,11,228,418,458,1781,1671,986,131
0,25163_0,0,407,351,134,52,28,19,367
0,25172_0,0,236,221,85,40,28,19,239
12,25174_0,12,425,622,532,2015,2302,1491,400
11,25175_0,12,348,586,660,2055,2746,1594,242
3,25177_0,4,537,766,981,2627,1938,1082,549
17,25182_0,17,293,516,420,2130,1676,1008,270
11,25183_0,9,377,562,503,2904,2189,1116,302
17,25192_0,3,722,1017,1157,1926,2127,1815,612
17,25205_0,17,438,643,637,1870,1994,1398,399
12,25213_0,17,479,862,697,3413,2743,1487,410
8,25215_0,2,124,252,170,2340,658,274,89
9,25219_0,9,149,325,348,1735,1355,728,84
0,25220_0,0,359,350,101,26,16,9,309
4,25224_0,4,660,905,946,1602,1443,1244,540
0,25228_0,0,393,360,134,35,20,12,372
12,25229_0,12,469,757,834,2284,2797,1913,347
17,25232_0,17,402,503,594,1113,1872,1479,349
11,25238_0,12,325,529,482,1488,1799,1233,271
19,25240_0,11,431,485,527,1300,1800,1243,383
9,25243_0,9,146,342,271,2132,1363,701,95
2,25249_0,2,265,384,346,2101,1051,594,203
17,25254_0,17,514,750,906,1521,1916,1684,406
17,25259_0,17,336,552,490,2150,1733,1134,297
17,25263_0,17,475,583,669,1071,1795,1586,424
17,25265_0,17,358,629,643,2908,1569,861,266
4,25269_0,4,337,647,803,1555,1300,1097,241
0,25278_0,0,260,246,100,68,55,46,241
2,25285_0,9,188,295,268,1668,939,525,167
17,25288_0,17,480,690,728,1923,1966,1529,437
4,25289_0,16,941,1473,1782,2301,2663,2136,632
12,25291_0,17,410,735,508,3443,2244,1188,367
9,25294_0,11,38,188,233,1085,915,501,-40
0,25297_0,0,520,710,578,100,27,11,409
9,25302_0,9,114,250,200,1513,958,494,71
12,25304_0,12,369,641,502,2437,2228,1377,317
0,25311_0,19,209,280,148,151,39,31,206
11,25316_0,17,359,568,580,2058,2177,1360,313
17,25330_0,4,304,572,552,1702,1607,1056,271
19,25335_0,19,307,471,472,638,596,379,281
12,25352_0,12,432,806,783,2905,2818,1635,302
8,25356_0,9,147,394,197,3639,1245,471,123
9,25358_0,8,142,220,207,1250,787,396,116
12,25365_0,12,353,597,536,1989,2296,1368,285
17,25366_0,2,351,493,436,1902,1511,903,307
17,25373_0,3,292,533,464,1820,1515,1000,258
3,25392_0,8,381,557,446,2212,1226,725,301
0,25397_0,0,559,691,469,80,20,14,461
0,25404_0,0,282,179,100,48,37,21,322
0,25410_0,0,395,372,140,40,24,14,371
17,25412_0,11,430,695,720,1872,1886,1420,324
17,25418_0,8,213,367,297,2540,1158,529,159
17,25419_0,17,353,594,475,3436,1992,989,319
12,25422_0,17,453,812,780,2672,2283,1398,348
11,25427_0,17,253,422,502,1675,1705,1090,221
17,25437_0,17,342,531,340,3233,1791,918,334
17,25439_0,17,280,578,302,3942,1499,656,264
0,25440_0,0,195,140,76,41,34,21,222
2,25446_0,3,157,275,253,1222,691,381,124
17,25451_0,17,403,619,840,1438,3132,2921,305
11,25459_0,11,336,479,412,1925,1745,1029,299
17,25463_0,12,346,653,480,3352,1781,884,270
8,25468_0,8,46,126,79,1304,395,175,-8
0,25471_0,0,217,281,187,210,117,101,176
12,25473_0,12,836,1510,1768,3096,3852,2846,619
11,25479_0,11,55,145,123,677,364,211,8
17,25483_0,3,215,517,476,3038,1344,724,148
9,25485_0,8,260,352,322,1151,1106,640,230
2,25489_0,2,520,751,629,2737,2064,1337,457
2,25492_0,17,148,339,250,2045,981,491,96
11,25494_0,12,321,576,544,2491,2208,1297,239
9,25498_0,11,162,257,212,879,606,351,124
9,25499_0,8,190,302,324,1268,951,606,119
12,25505_0,12,476,790,761,2538,2301,1343,396
17,25507_0,17,351,487,531,1753,1729,1008,334
0,25515_0,0,233,174,93,51,35,18,249
5,25517_0,5,1326,1489,1631,1800,2071,1942,1168
17,25518_0,11,339,455,440,1854,1684,949,286
8,25519_0,8,154,226,153,1014,625,319,133
12,25527_0,12,570,836,810,2694,2925,1830,518
19,25529_0,17,340,428,411,921,835,676,300
0,25534_0,0,671,848,889,500,21,16,587
11,25539_0,11,242,397,457,1644,1663,1138,150
12,25543_0,3,245,657,437,3655,1821,929,208
3,25544_0,12,412,535,557,1894,1264,750,321
0,25550_0,0,421,328,112,52,25,19,354
17,25554_0,17,667,987,1221,2414,2668,2049,545
8,25563_0,8,107,221,128,2266,624,247,58
12,25568_0,12,377,666,612,2234,2497,1583,297
11,25574_0,9,257,567,609,1903,2054,1207,110
3,25575_0,3,279,424,470,1535,952,614,248
12,25578_0,12,437,638,553,2344,2161,1279,400
9,25579_0,9,226,386,330,1890,1586,810,178
11,25580_0,12,444,676,620,1986,2484,1619,391
12,25586_0,12,337,697,681,2801,2800,1769,238
17,25588_0,11,326,453,471,1612,1601,935,295
17,25595_0,17,813,1032,1179,1944,2624,2097,723
17,25597_0,17,428,646,627,2384,2311,1453,374
2,25600_0,9,236,407,338,1524,935,507,184
8,25603_0,8,89,202,156,2699,656,257,40
9,25604_0,2,164,325,269,2189,1068,511,115
4,25609_0,5,507,699,806,1148,1317,1109,371
9,25615_0,8,47,127,118,863,527,282,-17
12,25619_0,12,360,751,543,3873,2302,1208,272
11,25620_0,12,119,187,176,614,557,354,96
0,25622_0,0,451,546,277,56,19,14,375
17,25628_0,19,308,584,351,3458,1912,952,292
17,25629_0,12,452,737,716,2321,2038,1410,376
17,25637_0,11,265,420,320,2893,1378,679,238
9,25640_0,11,51,147,144,900,591,315,-1
11,25643_0,11,308,539,590,1888,2320,1401,195
11,25647_0,9,214,371,314,1831,1388,746,162
0,25661_0,0,229,209,85,37,27,18,239
8,25673_0,9,142,265,179,2561,907,391,115
8,25679_0,8,93,157,114,1375,427,169,58
8,25685_0,17,159,328,254,2354,975,539,103
17,25697_0,12,302,642,427,2825,1510,818,251
11,25701_0,9,256,472,535,1889,1853,1081,165
12,25711_0,17,252,356,260,1568,1025,557,220
9,25716_0,9,163,297,254,1694,1002,487,118
9,25724_0,9,198,307,323,1278,1101,629,158
0,25726_0,0,292,450,511,269,150,95,265
17,25727_0,3,420,673,678,2042,1697,1155,302
11,25743_0,11,232,462,525,1688,1623,937,113
17,25746_0,17,595,749,899,1487,2777,2154,511
0,25747_0,19,342,746,623,773,533,356,285
19,25752_0,2,400,571,576,1436,1452,966,344
11,25772_0,17,242,422,411,1656,1415,858,175
11,25773_0,9,226,297,272,1012,950,525,183
9,25784_0,17,161,319,253,2194,1158,507,112
11,25787_0,12,303,512,435,1661,1782,1190,232
17,25791_0,17,776,1011,1180,2251,2261,1762,628
11,25798_0,11,199,311,316,1151,1124,673,155
17,25806_0,12,486,672,577,2047,1756,1146,425
17,25812_0,17,395,549,727,1245,2395,2240,306
0,25813_0,0,241,204,98,40,24,13,261
4,25815_0,5,864,1078,1128,1735,1731,1252,841
17,25817_0,17,577,854,999,2095,2366,1800,499
17,25820_0,17,430,548,625,959,1252,1060,369
11,25824_0,12,315,557,556,1786,2271,1426,234
0,25828_0,0,334,255,91,43,16,10,319
12,25834_0,12,233,518,412,2154,1772,1011,162
0,25835_0,19,610,797,752,1114,914,510,559
4,25837_0,4,494,787,898,1444,1316,1125,332
0,25842_0,0,290,351,257,544,188,114,301
17,25845_0,17,285,470,471,2241,1611,968,258
8,25849_0,8,40,92,45,796,217,84,16
0,25854_0,0,216,158,88,53,33,25,223
11,25861_0,11,387,692,730,2232,2871,1966,271
0,25862_0,0,292,192,105,48,36,24,329
0,25870_0,0,446,452,201,43,16,12,398
17,25873_0,17,339,543,354,3057,1831,957,341
12,25883_0,12,464,746,802,2239,3134,2093,348
12,25898_0,12,466,698,648,2092,2487,1662,392
11,25901_0,11,201,361,387,1183,1280,858,134
17,25904_0,17,530,691,731,1398,2220,1935,509
11,25906_0,12,356,550,683,1940,2579,1482,275
4,25907_0,4,541,749,793,1406,1197,944,449
9,25913_0,9,140,241,235,1169,996,557,84
17,25914_0,17,323,537,429,2671,1625,910,297
17,25922_0,17,781,1190,1449,1896,2693,2399,649
17,25927_0,17,399,655,743,2283,1983,1299,329
9,25937_0,8,177,291,215,2104,1080,480,153
11,25944_0,9,137,306,329,1786,1289,753,70
12,25950_0,12,618,1036,885,4336,3430,2042,527
4,25966_0,12,382,600,752,1376,1397,1208,294
0,25968_0,0,212,450,292,970,147,113,105
9,25970_0,9,163,249,227,1009,774,430,95
8,25973_0,8,69,176,122,1829,585,229,34
4,25975_0,4,535,839,860,2153,1575,1076,398
12,25976_0,12,405,655,767,2118,2487,1548,290
19,25978_0,0,363,440,454,901,895,532,311
17,25981_0,17,277,460,364,2587,1437,731,243
12,25984_0,12,417,797,908,2586,2829,1791,264
17,25985_0,2,790,1167,1431,2070,2719,2292,692
17,25990_0,12,380,650,647,1632,1651,1180,299
9,26000_0,8,206,349,213,2783,1237,494,203
17,26007_0,17,657,939,1246,1945,3771,3526,527
4,26012_0,4,511,744,810,1484,1231,1004,445
17,26013_0,9,346,564,486,2164,1897,1099,306
0,26015_0,0,419,412,143,40,29,15,355
11,26016_0,11,323,554,565,2007,2078,1227,242
17,26017_0,17,512,863,804,2475,2073,1473,402
8,26026_0,8,68,179,140,2705,572,209,45
8,26029_0,8,81,221,149,2573,760,298,27
11,26031_0,9,183,425,471,1492,1508,959,84
3,26036_0,3,385,566,709,2066,1265,841,277
11,26039_0,9,166,270,219,1097,843,497,148
17,26041_0,17,200,278,353,613,1234,1122,143
12,26052_0,12,409,654,462,3076,2205,1213,381
17,26057_0,11,247,377,322,1608,1199,749,228
17,26070_0,17,275,452,366,2566,1435,788,242
0,26071_0,0,257,238,101,38,15,12,255
8,26072_0,9,67,158,102,1116,532,244,43
17,26073_0,17,369,600,566,1786,1889,1386,288
12,26074_0,12,383,692,558,2595,1943,1092,297
17,26075_0,17,317,470,524,1768,1843,1089,265
11,26083_0,11,81,227,250,1157,893,534,10
9,26087_0,8,74,121,82,710,312,126,35
0,26092_0,0,293,177,97,56,37,26,339
11,26093_0,11,540,723,754,2115,3233,2071,457
19,26114_0,17,323,459,581,1424,1633,1147,280
11,26121_0,9,356,627,691,2316,2406,1505,252
4,26123_0,2,951,1395,1611,2084,2628,2286,714
9,26128_0,8,20,117,95,858,542,254,-40
12,26133_0,2,490,756,616,2755,2298,1408,437
17,26142_0,17,687,900,1089,1643,2404,2106,582
4,26146_0,19,396,586,634,1113,1140,840,302
17,26161_0,17,435,669,717,1691,1927,1326,323
11,26163_0,12,512,867,1029,2170,2877,1882,375
19,26167_0,19,322,387,366,394,279,186,285
11,26171_0,11,194,445,495,1618,1898,1168,112
9,26175_0,9,193,283,191,1135,617,352,177
4,26178_0,4,555,689,724,1659,1320,1102,496
17,26180_0,17,281,483,321,2874,1605,771,264
12,26188_0,11,390,717,653,2501,2632,1650,303
11,26190_0,11,346,617,696,2039,2361,1445,220
9,26194_0,8,31,100,135,357,545,383,-31
9,26196_0,2,178,261,211,1302,719,392,139
9,26201_0,8,50,110,83,703,384,205,16
12,26204_0,17,334,624,508,2475,1823,1103,290
0,26213_0,0,260,217,93,35,17,10,262
8,26224_0,8,59,156,106,1281,487,219,32
12,26227_0,11,478,648,709,1612,2634,1858,402
12,26232_0,12,421,669,591,2457,2166,1225,346
12,26233_0,12,527,695,681,2007,2996,1860,490
17,26243_0,11,316,646,280,4851,1885,839,294
8,26246_0,9,159,348,320,2669,1581,807,94
12,26248_0,12,743,1207,1350,3177,3928,2417,548
12,26249_0,17,336,653,327,4675,1828,868,333
4,26250_0,5,795,1108,1289,1852,1864,1525,575
12,26251_0,12,610,1076,1030,3015,2962,1927,487
17,26252_0,17,233,414,351,2216,1243,681,195
0,26256_0,0,272,177,92,46,31,21,329
0,26271_0,0,243,224,90,45,27,16,235
17,26273_0,17,459,736,940,1472,2609,2106,344
0,26274_0,0,499,481,188,40,22,12,412
0,26275_0,0,453,410,149,42,22,10,387
11,26276_0,11,193,336,409,1323,1457,945,116
19,26281_0,19,429,662,714,1240,877,511,374
0,26283_0,0,207,882,331,192,33,26,194
12,26288_0,12,403,776,627,3075,2626,1462,323
11,26292_0,17,283,460,449,1599,1380,876,222
8,26293_0,8,19,65,46,705,167,76,9
12,26295_0,12,295,581,570,2143,2420,1502,203
12,26297_0,12,503,872,800,3590,2795,1571,422
4,26299_0,5,503,738,781,1759,1241,978,451
17,26303_0,12,744,1210,1312,2384,2892,2542,503
8,26309_0,8,149,261,166,2166,836,352,88
17,26315_0,17,368,414,472,727,1214,1117,339
11,26322_0,9,210,343,333,1166,1431,871,123
0,26325_0,0,229,216,98,56,39,25,236
17,26339_0,17,515,721,841,1800,2229,1648,451
12,26344_0,12,535,816,877,2229,2999,1906,415
12,26352_0,12,501,675,758,1538,2746,1964,423
11,26354_0,11,255,436,474,2112,2203,1337,180
0,26355_0,0,256,265,193,125,91,83,251
11,26360_0,11,292,400,386,1643,1566,894,244
17,26367_0,17,303,605,635,2350,1870,1282,250
3,26368_0,3,360,511,489,1675,1069,702,305
0,26369_0,0,219,169,86,50,41,30,229
8,26385_0,7,151,259,184,1834,862,384,123
11,26387_0,9,229,378,392,1288,1414,934,156
0,26388_0,0,253,216,98,68,56,45,233
12,26394_0,12,424,718,782,2265,2584,1727,321
17,26395_0,17,802,855,879,941,1591,1555,788
11,26396_0,11,184,352,397,1217,1181,766,100
9,26406_0,9,196,299,292,1597,1173,664,161
11,26408_0,11,505,820,1029,2498,2822,1803,288
17,26416_0,17,417,480,551,827,1637,1694,398
12,26422_0,12,459,709,679,2319,2676,1744,395
17,26431_0,2,586,767,911,1799,2123,1603,501
8,26433_0,9,250,340,291,1841,1166,573,224
17,26434_0,11,306,559,272,3136,1538,762,296
17,26440_0,9,264,464,393,1805,1476,826,195
17,26448_0,17,486,633,713,1237,1808,1601,406
17,26459_0,17,405,630,569,2402,1943,1163,369
11,26460_0,11,320,574,710,1988,2401,1401,199
3,26472_0,11,428,631,631,2242,1287,863,380
8,26486_0,8,143,323,217,3301,1057,436,106
17,26493_0,17,354,577,471,2772,1896,970,313
12,26494_0,17,409,794,705,2266,1948,1199,293
12,26495_0,12,432,718,585,2709,2379,1373,385
0,26498_0,0,441,412,167,38,20,7,407
17,26503_0,17,434,529,594,1189,1756,1611,410
3,26504_0,4,330,481,492,1780,1077,740,261
9,26505_0,9,151,282,263,1492,1008,531,98
17,26509_0,17,602,804,941,1534,2476,2213,541
8,26510_0,8,102,174,94,1134,424,165,77
0,26513_0,0,338,252,92,42,20,10,318
8,26515_0,8,88,208,135,2078,562,232,59
8,26520_0,8,61,173,113,1676,545,217,24
17,26531_0,17,552,759,917,1695,2614,2038,483
12,26547_0,12,413,736,628,2844,2484,1442,333
4,26551_0,4,526,792,837,1702,1399,1041,432
0,26568_0,3,385,390,352,760,492,374,369
11,26570_0,9,245,392,310,1709,1429,776,215
12,26575_0,11,310,542,544,2384,2073,1267,227
17,26580_0,12,282,487,286,3224,1364,608,266
11,26582_0,9,242,442,452,2088,1848,1018,145
12,26586_0,12,328,614,493,2860,2220,1222,253
3,26591_0,3,377,527,557,1698,889,669,332
8,26594_0,8,42,89,63,1023,260,100,24
11,26595_0,11,223,429,529,1370,1860,1262,149
12,26600_0,17,578,823,1045,2535,3012,2010,498
2,26602_0,3,185,409,338,1765,1084,741,156
12,26604_0,12,478,813,736,2763,2722,1629,385
0,26620_0,0,588,761,726,188,25,12,478
19,26621_0,17,340,435,471,1202,1368,939,310
17,26626_0,17,657,840,1029,1605,2882,2178,532
0,26631_0,0,666,844,886,473,22,13,580
3,26634_0,3,366,560,621,1824,1193,785,312
12,26637_0,11,348,633,610,2809,2285,1326,257
17,26640_0,17,427,619,845,1513,3065,2903,334
12,26645_0,2,624,1061,1166,2813,2775,2207,514
17,26646_0,17,320,736,558,4431,1857,1061,254
5,26649_0,5,577,809,913,1158,1259,1126,385
11,26653_0,11,165,346,405,1583,1462,911,77
17,26660_0,17,485,786,904,2352,2057,1469,374
8,26662_0,8,134,236,165,2225,825,347,92
12,26666_0,12,428,774,603,3980,2541,1308,356
0,26667_0,0,549,604,283,53,27,14,422
12,26669_0,12,373,682,651,2162,2595,1660,297
17,26671_0,17,235,538,390,2886,1783,985,178
17,26681_0,17,401,596,676,1525,1775,1645,361
12,26683_0,12,449,813,621,3441,3136,1870,405
11,26687_0,11,280,495,627,1781,2199,1505,190
12,26690_0,12,499,707,689,1947,2494,1649,436
11,26694_0,11,257,514,592,1896,2128,1325,140
11,26703_0,11,217,332,366,955,1686,1202,170
11,26718_0,3,223,331,298,839,751,554,184
9,26720_0,11,178,282,246,1340,1027,582,139
0,26722_0,0,252,196,98,52,34,23,265
0,26724_0,0,256,346,265,63,32,29,213
5,26726_0,3,671,821,810,1727,1046,654,609
11,26737_0,11,383,568,584,2004,2306,1389,332
12,26739_0,12,427,782,442,3743,2333,1209,411
17,26743_0,17,278,748,290,4895,1604,674,241
0,26745_0,0,239,204,93,34,18,12,256
0,26747_0,0,201,149,74,42,32,18,218
12,26753_0,2,349,717,559,3325,2043,1158,279
11,26754_0,3,275,476,601,1465,1559,1283,164
5,26756_0,5,2217,2601,2877,3121,4889,4910,1709
9,26757_0,9,112,286,245,2098,1340,653,48
9,26759_0,11,249,448,409,2033,1590,955,182
12,26764_0,12,414,603,567,1790,2280,1505,385
17,26769_0,17,511,831,970,2470,2028,1473,388
3,26771_0,3,663,976,1034,2391,1940,1430,499
17,26776_0,19,420,489,527,1211,1372,1078,397
9,26778_0,11,292,433,351,2265,1622,787,257
17,26783_0,17,431,706,984,1612,2798,2522,324
9,26787_0,11,64,190,191,1042,913,528,29
0,26788_0,0,524,659,461,70,20,10,429
12,26793_0,12,399,651,620,2478,2302,1463,320
12,26795_0,12,299,534,480,1767,1935,1274,231
12,26796_0,2,295,578,434,2452,1783,976,220
17,26831_0,11,453,726,842,1958,2234,1596,357
17,26840_0,17,399,604,781,1148,1792,1519,325
11,26841_0,3,292,551,599,1648,1785,1235,182
11,26847_0,12,282,391,436,959,1573,1130,225
9,26849_0,8,81,238,219,1650,1002,510,19
12,26853_0,12,531,811,760,2486,2662,1821,468
12,26857_0,12,368,654,533,2490,1997,1155,327
8,26858_0,8,133,323,195,3780,1063,381,72
0,26866_0,0,576,751,645,125,19,14,465
11,26867_0,9,231,438,471,1762,1879,1151,112
0,26871_0,0,507,492,201,43,21,13,418
17,26882_0,17,437,566,542,1820,1861,1373,403
12,26883_0,11,364,718,552,2597,2167,1301,301
0,26889_0,0,199,149,68,38,24,14,209
11,26903_0,0,338,618,736,1780,1921,1255,183
11,26905_0,11,254,457,477,1552,1830,1154,178
11,26911_0,11,463,845,1057,2450,2757,1891,336
12,26912_0,12,355,687,708,1765,1633,1158,287
4,26913_0,6,1020,1498,1840,2393,2651,1891,791
0,26915_0,0,393,368,136,32,20,10,369
4,26933_0,0,515,728,756,1135,1334,1168,474
9,26934_0,11,104,194,151,1211,663,311,71
8,26936_0,8,152,284,191,2717,680,271,106
12,26937_0,12,448,813,1015,2257,3370,2091,273
17,26945_0,17,385,575,623,1925,1726,1203,313
12,26953_0,12,470,793,776,2263,2226,1440,417
12,26954_0,12,413,604,650,1423,2311,1757,354
4,26958_0,3,809,1095,1146,2108,1876,1627,713
17,26963_0,17,453,651,703,1786,2058,1506,389
17,26965_0,17,559,815,1022,1768,2754,2577,485
17,26966_0,17,360,477,486,1472,1631,1199,338
12,26969_0,11,375,729,535,3411,2426,1374,325
11,26971_0,12,446,672,817,1826,2530,1902,343
9,26972_0,2,72,140,116,870,494,245,25
0,26974_0,0,408,371,144,43,21,12,367
17,26978_0,6,780,1085,1220,2185,2732,1921,655
9,26980_0,11,146,260,191,858,837,512,129
4,26982_0,3,649,770,794,1215,1214,976,618
17,26986_0,17,267,512,433,2224,1448,823,217
8,26992_0,8,45,114,76,1154,313,117,24
0,26996_0,0,492,674,487,89,20,18,381
4,26997_0,12,454,739,797,1973,1489,1062,344
12,26999_0,12,318,743,330,4129,1778,837,309
9,27003_0,8,116,222,165,1857,774,337,82
12,27007_0,12,409,825,722,2881,2649,1583,284
17,27013_0,17,399,504,609,1128,1663,1263,348
11,27016_0,12,488,753,652,2718,3108,1970,440
9,27019_0,9,114,235,155,2013,848,360,82
11,27026_0,8,214,451,421,2892,1820,995,152
11,27027_0,9,292,588,594,2245,1830,1082,228
2,27032_0,3,261,418,467,1878,940,586,187
17,27051_0,17,389,549,686,999,1457,1171,331
0,27057_0,19,188,249,239,316,149,103,182
12,27059_0,12,377,671,441,3035,2023,984,327
9,27068_0,12,205,290,225,1869,1062,555,190
9,27070_0,8,116,293,354,1242,1084,669,44
0,27072_0,0,442,363,140,53,20,14,432
9,27075_0,12,211,282,203,1056,814,475,193
12,27078_0,12,509,877,843,2691,2923,1811,395
0,27084_0,0,301,194,109,66,45,38,339
0,27086_0,0,582,752,637,115,16,12,461
12,27095_0,12,507,782,626,2608,2360,1402,453
12,27096_0,12,391,792,782,3195,3205,1853,271
17,27100_0,17,466,551,629,1086,1563,1383,423
8,27109_0,8,3,57,54,417,261,146,-36
4,27110_0,4,709,952,1065,1884,1497,1292,662
17,27113_0,17,296,557,484,2324,1481,815,216
11,27117_0,11,360,599,672,1628,2016,1342,222
12,27118_0,12,513,852,999,2484,3731,2415,367
9,27119_0,9,70,130,105,541,350,173,32
17,27122_0,17,236,621,250,4288,1436,609,224
12,27133_0,12,408,888,625,4724,2425,1252,342
9,27139_0,11,238,419,454,1504,1400,911,164
12,27152_0,12,372,752,400,5107,2095,996,353
9,27157_0,9,227,363,323,2189,1400,701,185
17,27161_0,17,767,1074,1280,1787,2578,2363,634
11,27165_0,16,302,514,518,2322,1977,1195,255
12,27167_0,12,596,928,1110,2355,3092,2103,427
17,27168_0,17,470,616,723,1223,1937,1781,424
2,27182_0,12,490,683,834,2404,2148,1444,-11
17,27183_0,16,439,691,853,1665,2363,2098,328
0,27186_0,0,509,526,251,70,32,17,461
0,27187_0,0,216,237,105,58,37,25,218
8,27191_0,8,121,300,179,3517,823,301,74
2,27193_0,2,234,342,309,1452,787,455,210
12,27199_0,12,496,955,1146,2832,3300,1863,300
17,27206_0,11,303,515,482,1904,1780,1032,255
11,27211_0,11,264,427,436,1298,1695,1172,198
11,27212_0,11,287,512,475,1632,1956,1245,221
17,27214_0,12,377,610,464,2674,1870,1050,340
3,27226_0,2,523,863,913,2154,1967,1475,429
17,27228_0,2,354,605,411,3681,1834,976,317
4,27231_0,4,466,698,784,1489,1186,925,388
11,27232_0,17,335,560,480,1619,1409,904,267
17,27234_0,17,232,565,322,3553,1544,747,208
0,27240_0,0,384,351,148,59,29,22,345
9,27253_0,9,146,321,274,2250,1384,665,59
9,27260_0,9,144,317,287,2141,1194,610,71
9,27276_0,2,176,421,343,2248,1349,772,107
11,27277_0,11,195,466,349,2045,1578,894,138
